,BC
2740,13094.9604
2741,0.0
2742,6825.8369999999995
2743,539.0782879999999
2744,13558.4236
2745,35348.6468
2746,414803.544
2747,0.0
2748,27542.121399999996
2749,0.0
2750,0.0
2751,0.0
2752,0.0
2753,0.0
2754,0.0
2755,0.0
2756,4023.1085420000004
2757,0.0
2758,0.0
2759,0.0
2760,0.0
2761,0.0
2762,0.0
2763,11287.786000000002
2764,29735.283799999997
2765,0.0
2766,5449.38604
2767,101.35076000000001
2768,0.0
2769,0.0
2770,0.0
2771,0.0
2772,0.0
2773,0.0
2774,0.0
2775,0.0
2776,0.0
2777,362.30449
2778,0.0
2779,1058.516646
2780,8756.68804
2781,0.0
2782,5620.19838
2783,218.823216
2784,0.0
2785,5028.8
2786,10925.11372
2787,0.0
2788,1258.6135219999999
2789,536.6683719999999
2790,0.0
2791,4442.02056
2792,1246.0
2793,0.0
2794,0.0
2795,0.0
2796,0.0
2797,0.0
2798,0.0
2799,743.3198479999999
2800,0.0
2801,0.0
2802,0.0
2803,12638.412
2804,0.0
2805,0.0
2806,0.0
2807,22832.674
2808,44816.7256
2809,2156.59394
2810,1016.2461920000002
2811,1766.37654
2812,13152.2592
2813,0.0
2814,4781.966072
2815,0.0
2816,0.0
2817,0.0
2818,7636.34388
2819,12546.0
2820,801.869375
2821,0.0
2822,11408.665100000002
2823,1615.5236936000001
2824,0.0
2825,3873.74798
2826,0.0
2827,11743.604
2828,0.0
2829,0.0
2830,0.0
2831,0.0
2832,2555.6
2833,0.0
2834,0.0
2835,0.0
2836,4629.31614
2837,0.0
2838,0.0
2839,4.165004999999999
2840,0.0
2841,898.067036
2842,0.0
2843,4200.077380000001
2844,0.0
2845,3556.4194199999997
2846,0.0
2847,0.0
2848,0.0
2849,564.38118
2850,0.0
2851,3516.3642999999997
2852,0.0
2853,15978.137200000001
2854,0.0
2855,0.0
2856,0.0
2857,0.0
2858,0.0
2859,41459.7906
2860,0.0
2861,0.0
2862,7588.8
2863,880.989902
2864,7050.289320000001
2865,4329.7131899999995
2866,0.0
2867,0.0
2868,0.0
2869,2830.3693399999997
2870,2871.94604
2871,665.3101325
2872,4834.8206
2873,0.0
2874,0.0
2875,0.0
2876,0.0
2877,5233.99662
2878,3091.0351199999996
2879,111.559246
2880,6225.64798
2881,0.0
2882,38344.6284
2883,19.552619
2884,0.0
2885,895.814744
2886,0.0
2887,0.0
2888,11512.878999999999
2889,0.0
2890,0.0
2891,0.0
2892,19493.6036
2893,0.0
2894,570.28844
2895,0.0
2896,1420.39072
2897,2405.03744
2898,0.0
2899,1483.7902
2900,0.0
2901,18742.907000000003
2902,3217.5287500000004
2903,0.0
2904,0.0
2905,0.0
2906,11742.3725
2907,0.0
2908,68628.6854
2909,37655.048200000005
2910,0.0
2911,0.0
2912,7532.2352
2913,0.0
2914,0.0
2915,12782.288199999999
2916,0.0
2917,0.0
2918,0.0
2919,5713.65334
2920,3102.7833600000004
2921,0.0
